Timestamp                       Thread     Type        Activity             PID    TTL  
2026-09-18 04:09:43.939089+0300 0x790      Default     0x0                  0      0    kernel: (RTBuddy) [DCPEXT:ap_link.c:285] ap_link: IOMFB: DCP heap size: 0x1030000 [iBoot:0x1030000] [LinkService:0x0]
2026-09-18 04:09:43.939984+0300 0x790      Default     0x0                  0      0    kernel: (IOMobileGraphicsFamily-DCP) IOMFB: service matched: AppleDCPExpert
2026-09-18 04:09:43.940603+0300 0x968      Default     0x0                  0      0    kernel: (IOMobileGraphicsFamily-DCP) IOMFB: AppleDCPLinkService heap size increment: 0x0
2026-09-18 04:09:43.940691+0300 0x968      Default     0x0                  0      0    kernel: (IOMobileGraphicsFamily-DCP) IOMFB: service matched: AppleDCPLinkService (pipe:0)
2026-09-18 04:09:43.940806+0300 0x968      Default     0x0                  0      0    kernel: (RTBuddy) [DCPEXT:nifiedPipeline.cpp:5150] IOMFB: Could not find PMU service
2026-09-18 04:09:43.940817+0300 0x968      Default     0x0                  0      0    kernel: (RTBuddy) [DCP:ap_link.c:308] shared memory dva: 0xf04164000 0xffffffff000ea000
2026-09-18 04:09:43.940822+0300 0x968      Default     0x0                  0      0    kernel: (RTBuddy) [DCP:ap_link.c:285] ap_link: IOMFB: DCP heap size: 0x1030000 [iBoot:0x1030000] [LinkService:0x0]
2026-09-18 04:09:43.943163+0300 0x790      Default     0x0                  0      0    kernel: (RTBuddy) [DCPEXT:nifiedPipeline.cpp:5166] IOMFB: Could not find Backlight service
2026-09-18 04:09:43.943974+0300 0x790      Default     0x0                  0      0    kernel: (RTBuddy) [DCP:nifiedPipeline.cpp:5150] IOMFB: Could not find PMU service
2026-09-18 04:09:43.943985+0300 0x790      Default     0x0                  0      0    kernel: (RTBuddy) [DCPEXT:nifiedPipeline.cpp:5174] IOMFB: Could not find nvram service
2026-09-18 04:09:43.943991+0300 0x790      Default     0x0                  0      0    kernel: (RTBuddy) [DCPEXT:nifiedPipeline.cpp:2214] virtual bool UnifiedPipeline::start_ios_gated(): Created AP Services
